asciiname,lat,lon,country,admin_code,tz,population,country_name,region,sub_region
Obera,-27.48706,-55.11994,AR,14,America/Argentina/Cordoba,56528,Argentina,Americas,Latin America and the Caribbean
Necochea,-38.54726,-58.73675,AR,01,America/Argentina/Buenos_Aires,80478,Argentina,Americas,Latin America and the Caribbean
Moron,-34.65344,-58.61975,AR,01,America/Argentina/Buenos_Aires,319934,Argentina,Americas,Latin America and the Caribbean
Mercedes,-34.65146,-59.43068,AR,01,America/Argentina/Buenos_Aires,52949,Argentina,Americas,Latin America and the Caribbean
Mar del Plata,-38.00228,-57.55754,AR,01,America/Argentina/Buenos_Aires,553935,Argentina,Americas,Latin America and the Caribbean
Lujan,-34.57028,-59.105,AR,01,America/Argentina/Buenos_Aires,81749,Argentina,Americas,Latin America and the Caribbean
La Plata,-34.92145,-57.95453,AR,01,America/Argentina/Buenos_Aires,694167,Argentina,Americas,Latin America and the Caribbean
Gualeguaychu,-33.00938,-58.51722,AR,08,America/Argentina/Cordoba,78676,Argentina,Americas,Latin America and the Caribbean
Goya,-29.14003,-59.26256,AR,06,America/Argentina/Cordoba,70245,Argentina,Americas,Latin America and the Caribbean
Formosa,-26.17753,-58.17814,AR,09,America/Argentina/Cordoba,221383,Argentina,Americas,Latin America and the Caribbean
Corrientes,-27.4806,-58.8341,AR,06,America/Argentina/Cordoba,339067,Argentina,Americas,Latin America and the Caribbean
Concordia,-31.39296,-58.02089,AR,08,America/Argentina/Cordoba,145210,Argentina,Americas,Latin America and the Caribbean
Concepcion del Uruguay,-32.48249,-58.23722,AR,08,America/Argentina/Cordoba,67895,Argentina,Americas,Latin America and the Caribbean
Colegiales,-34.57365,-58.44924,AR,07,America/Argentina/Buenos_Aires,57000,Argentina,Americas,Latin America and the Caribbean
Campana,-34.16874,-58.95914,AR,01,America/Argentina/Buenos_Aires,81612,Argentina,Americas,Latin America and the Caribbean
Buenos Aires,-34.61315,-58.37723,AR,07,America/Argentina/Buenos_Aires,13076300,Argentina,Americas,Latin America and the Caribbean
Barranqueras,-27.48299,-58.93579,AR,03,America/Argentina/Cordoba,50823,Argentina,Americas,Latin America and the Caribbean
Azul,-36.77698,-59.85854,AR,01,America/Argentina/Buenos_Aires,53941,Argentina,Americas,Latin America and the Caribbean
Yerba Buena,-26.81667,-65.31667,AR,24,America/Argentina/Tucuman,50783,Argentina,Americas,Latin America and the Caribbean
Villa Maria,-32.40751,-63.24016,AR,05,America/Argentina/Cordoba,92453,Argentina,Americas,Latin America and the Caribbean
Villa Carlos Paz,-31.42414,-64.49778,AR,05,America/Argentina/Cordoba,69451,Argentina,Americas,Latin America and the Caribbean
Venado Tuerto,-33.74556,-61.96884,AR,21,America/Argentina/Cordoba,72340,Argentina,Americas,Latin America and the Caribbean
Ushuaia,-54.8,-68.3,AR,23,America/Argentina/Ushuaia,58028,Argentina,Americas,Latin America and the Caribbean
Trelew,-43.24895,-65.30505,AR,04,America/Argentina/Catamarca,93442,Argentina,Americas,Latin America and the Caribbean
Tartagal,-22.51636,-63.80131,AR,17,America/Argentina/Salta,60819,Argentina,Americas,Latin America and the Caribbean
Santo Tome,-31.66274,-60.7653,AR,21,America/Argentina/Cordoba,59072,Argentina,Americas,Latin America and the Caribbean
Santiago del Estero,-27.79511,-64.26149,AR,22,America/Argentina/Cordoba,354692,Argentina,Americas,Latin America and the Caribbean
Santa Rosa,-36.61667,-64.28333,AR,11,America/Argentina/Salta,111424,Argentina,Americas,Latin America and the Caribbean
Santa Fe de la Vera Cruz,-31.63333,-60.7,AR,21,America/Argentina/Cordoba,489505,Argentina,Americas,Latin America and the Caribbean
San Salvador de Jujuy,-24.19456,-65.29712,AR,10,America/Argentina/Jujuy,305891,Argentina,Americas,Latin America and the Caribbean
San Ramon de la Nueva Oran,-23.13705,-64.32426,AR,17,America/Argentina/Salta,74059,Argentina,Americas,Latin America and the Caribbean
San Rafael,-34.61772,-68.33007,AR,13,America/Argentina/Mendoza,109163,Argentina,Americas,Latin America and the Caribbean
San Pedro,-24.23127,-64.86614,AR,10,America/Argentina/Jujuy,58430,Argentina,Americas,Latin America and the Caribbean
San Nicolas de los Arroyos,-33.33578,-60.22523,AR,01,America/Argentina/Buenos_Aires,127742,Argentina,Americas,Latin America and the Caribbean
San Miguel de Tucuman,-26.82414,-65.2226,AR,24,America/Argentina/Tucuman,781023,Argentina,Americas,Latin America and the Caribbean
San Martin,-33.08103,-68.46814,AR,13,America/Argentina/Mendoza,82549,Argentina,Americas,Latin America and the Caribbean
San Luis,-33.29501,-66.33563,AR,19,America/Argentina/San_Luis,183982,Argentina,Americas,Latin America and the Caribbean
San Juan,-31.5375,-68.53639,AR,18,America/Argentina/San_Juan,447048,Argentina,Americas,Latin America and the Caribbean
San Francisco,-31.42797,-62.08266,AR,05,America/Argentina/Cordoba,59062,Argentina,Americas,Latin America and the Caribbean
San Fernando del Valle de Catamarca,-28.46957,-65.78524,AR,02,America/Argentina/Catamarca,188812,Argentina,Americas,Latin America and the Caribbean
